platform,type,timestamp,ticker,isin,total_amount,quantity,price_per_share,currency,instrument_currency,fx_rate
Trading 212_ISA,BUY,15/07/2025,META,US30303M1027,51.61,0.09684769,712.36,GBP,USD,1.3388399
Freetrade,BUY,30/06/2025,ISF.L,IE0005042456,8.57,1,8.57,GBP,GBP,
Trading 212_GIA,BUY,27/06/2025,SGLN.L,IE00B4ND3602,50,1.08038029,4628,GBP,GBX,100
Trading 212_ISA,BUY,25/06/2025,IGG.L,GB00B06QFB75,1.04,0.09689557,1063,GBP,GBX,100
Trading 212_ISA,BUY,25/06/2025,GSK.L,GB00BN7SWP63,3.45,0.24343506,1409,GBP,GBX,100
Trading 212_ISA,BUY,25/06/2025,HSBA.L,GB0005405286,3.02,0.33825684,886.9,GBP,GBX,100
Trading 212_ISA,BUY,25/06/2025,AV.L,GB00BPQY8M80,1.99,0.31976744,619.2,GBP,GBX,100
Trading 212_ISA,BUY,25/06/2025,HLN.L,GB00BMX86B70,1.07,0.27618551,383.8,GBP,GBX,100
Trading 212_ISA,BUY,25/06/2025,EQQQ.L,IE0032077012,5.02,0.01259186,39867,GBP,GBX,100
Trading 212_ISA,BUY,25/06/2025,IMB.L,GB0004544929,3.14,0.10818307,2884,GBP,GBX,100
Trading 212_ISA,BUY,25/06/2025,CRDA.L,GB00BJFFLV09,1.04,0.0338593,3042,GBP,GBX,100
Trading 212_ISA,BUY,25/06/2025,BP.L,GB0007980591,4.41,1.19163952,368.4,GBP,GBX,100
Trading 212_ISA,BUY,25/06/2025,BATS.L,GB0002875804,2.06,0.05755193,3562,GBP,GBX,100
Trading 212_ISA,BUY,25/06/2025,BARC.L,GB0031348658,3.96,1.19393939,330,GBP,GBX,100
Trading 212_ISA,BUY,25/06/2025,BA.L,GB0002634946,4.47,0.24565277,1811.5,GBP,GBX,100
Trading 212_ISA,BUY,25/06/2025,AZN.L,GB0009895292,4.43,0.04264165,10342,GBP,GBX,100
Trading 212_ISA,BUY,25/06/2025,DGE.L,GB0002374006,3.3,0.17648641,1858.5,GBP,GBX,100
